[I 2025-04-06 17:08:58,607] A new study created in memory with name: no-name-0a578913-3b79-4729-9dc4-d61678f55b26
[I 2025-04-06 17:24:59,615] Trial 0 finished with value: 0.8638938548338271 and parameters: {'iterations': 4000, 'depth': 10, 'learning_rate': 0.7322619478695936, 'l2_leaf_reg': 0.9846738873614566, 'bootstrap_type': 'Bayesian', 'grow_policy': 'Depthwise', 'min_data_in_leaf': 71, 'bagging_temperature': 0.20584494295802447}. Best is trial 0 with value: 0.8638938548338271.
[I 2025-04-06 23:05:48,394] Trial 16 finished with value: 0.9040684803744273 and parameters: {'iterations': 6000, 'depth': 5, 'learning_rate': 0.41713241000762435, 'l2_leaf_reg': 3.489205912186873, 'bootstrap_type': 'Bernoulli', 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 37, 'subsample': 0.7460580537149243}. Best is trial 15 with value: 0.9403047473414174.
[I 2025-04-06 23:44:48,894] Trial 17 finished with value: 0.9022080934212946 and parameters: {'iterations': 8000, 'depth': 9, 'learning_rate': 0.6066847725963113, 'l2_leaf_reg': 27.470866234797974, 'bootstrap_type': 'Bayesian', 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 12, 'bagging_temperature': 2.9455894751326994}. Best is trial 15 with value: 0.9403047473414174.
[I 2025-04-07 00:01:44,477] Trial 18 finished with value: 0.9210024005325879 and parameters: {'iterations': 5000, 'depth': 7, 'learning_rate': 0.39623208894235024, 'l2_leaf_reg': 0.34471391964615905, 'bootstrap_type': 'Bernoulli', 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 34, 'subsample': 0.3500245999796786}. Best is trial 15 with value: 0.9403047473414174.
[I 2025-04-07 00:30:40,449] Trial 19 finished with value: 0.8802653078678555 and parameters: {'iterations': 9000, 'depth': 8, 'learning_rate': 0.5766275102179319, 'l2_leaf_reg': 1.8970819320146155, 'bootstrap_type': 'Bayesian', 'grow_policy': 'Depthwise', 'min_data_in_leaf': 42, 'bagging_temperature': 2.3611710967595023}. Best is trial 15 with value: 0.9403047473414174.
[I 2025-04-07 00:47:26,798] Trial 20 finished with value: 0.8846837774178484 and parameters: {'iterations': 7000, 'depth': 5, 'learning_rate': 0.13595519225985767, 'l2_leaf_reg': 7.08634399555509, 'bootstrap_type': 'Bernoulli', 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 57, 'subsample': 0.6693673534860866}. Best is trial 15 with value: 0.9403047473414174.
[I 2025-04-07 01:39:48,257] Trial 21 finished with value: 0.9436553431333771 and parameters: {'iterations': 10000, 'depth': 9, 'learning_rate': 0.2191958803453538, 'l2_leaf_reg': 0.12215757018876296, 'bootstrap_type': 'Bernoulli', 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 62, 'subsample': 0.2716174004724779}. Best is trial 21 with value: 0.9436553431333771.
[I 2025-04-07 02:17:00,641] Trial 22 finished with value: 0.9376513018687389 and parameters: {'iterations': 9000, 'depth': 9, 'learning_rate': 0.3334039084097846, 'l2_leaf_reg': 0.12316900388660054, 'bootstrap_type': 'Bernoulli', 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 81, 'subsample': 0.10057820257994737}. Best is trial 21 with value: 0.9436553431333771.
[I 2025-04-07 03:14:26,623] Trial 23 finished with value: 0.9392066202296132 and parameters: {'iterations': 9000, 'depth': 10, 'learning_rate': 0.32512323384111264, 'l2_leaf_reg': 0.09430072612906934, 'bootstrap_type': 'Bernoulli', 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 84, 'subsample': 0.13884050017428762}. Best is trial 21 with value: 0.9436553431333771.
[I 2025-04-07 04:26:20,986] Trial 24 finished with value: 0.9515609636253671 and parameters: {'iterations': 10000, 'depth': 10, 'learning_rate': 0.38709375148908315, 'l2_leaf_reg': 0.6515527694891259, 'bootstrap_type': 'Bernoulli', 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 99, 'subsample': 0.30127034898839467}. Best is trial 24 with value: 0.9515609636253671.
[I 2025-04-07 05:36:50,529] Trial 25 finished with value: 0.9422360820669248 and parameters: {'iterations': 10000, 'depth': 10, 'learning_rate': 0.5590361632154756, 'l2_leaf_reg': 0.6788774615475839, 'bootstrap_type': 'Bernoulli', 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 96, 'subsample': 0.3114592813914708}. Best is trial 24 with value: 0.9515609636253671.
[I 2025-04-07 06:47:14,009] Trial 26 finished with value: 0.9455827688709965 and parameters: {'iterations': 10000, 'depth': 10, 'learning_rate': 0.5665319354761628, 'l2_leaf_reg': 0.8122891150156081, 'bootstrap_type': 'Bernoulli', 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 99, 'subsample': 0.2753249268455333}. Best is trial 24 with value: 0.9515609636253671.
[I 2025-04-07 07:37:28,803] Trial 27 finished with value: 0.9416699716216383 and parameters: {'iterations': 7000, 'depth': 10, 'learning_rate': 0.6795319442721794, 'l2_leaf_reg': 0.929556585782931, 'bootstrap_type': 'Bernoulli', 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 98, 'subsample': 0.30964103250612535}. Best is trial 24 with value: 0.9515609636253671.
[I 2025-04-07 08:03:45,510] Trial 28 finished with value: 0.8723922516789242 and parameters: {'iterations': 10000, 'depth': 10, 'learning_rate': 0.8286054719146096, 'l2_leaf_reg': 0.15238567289153876, 'bootstrap_type': 'Bernoulli', 'grow_policy': 'Lossguide', 'min_data_in_leaf': 84, 'subsample': 0.4316805899209319}. Best is trial 24 with value: 0.9515609636253671.
[I 2025-04-07 08:30:40,985] Trial 29 finished with value: 0.9001058793404433 and parameters: {'iterations': 8000, 'depth': 10, 'learning_rate': 0.5086007781312727, 'l2_leaf_reg': 0.6194102551640681, 'bootstrap_type': 'Bernoulli', 'grow_policy': 'Depthwise', 'min_data_in_leaf': 69, 'subsample': 0.256071415148395}. Best is trial 24 with value: 0.9515609636253671.
Best CatBoost Parameters: {'iterations': 10000, 'depth': 10, 'learning_rate': 0.38709375148908315, 'l2_leaf_reg': 0.6515527694891259, 'bootstrap_type': 'Bernoulli', 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 99, 'subsample': 0.30127034898839467}
